OBJECTID,geoid,county,am,pm,af,anomaly_af,anomaly_am,anomaly_pm,mean_impervious,mean_canopy,total_population,male_pop_under_5,female_pop_under_5,65_older_pct,65_older_pop,poverty,poverty_pct,median_inc,state,region,whit_nh_pct,MinorityPercent,SHAPE_Length,SHAPE_Area
1964,41051008901,Multnomah County,60.47767493,80.00636829,84.76014866,-3.253924579,0.393609309,-3.764647569,19.31395564,34.62710553,10754,392,209,14.9,1600,10584,14.5,74750,Oregon,Portland,61.7,38.3,0.18958257,0.001119826
1965,41051008902,Multnomah County,59.9242765,83.8024976,88.30715336,0.293080113,-0.159789119,0.031481741,43.77532118,20.310279,3836,153,80,11.1,426,3786,12.6,56848,Oregon,Portland,72,28,0.082342005,0.000346835
1966,41051009000,Multnomah County,57.63697237,84.76749203,88.4122899,0.398216655,-2.447093249,0.996476177,49.92592593,8.654426959,11175,336,423,9.4,1053,10995,26,45043,Oregon,Portland,52.4,47.6,0.075408776,0.000321943
1967,41051009101,Multnomah County,57.85998984,84.88835838,88.56701227,0.552939023,-2.224075783,1.117342528,53.13412564,8.849387528,5785,158,155,12.4,719,5728,24.7,44693,Oregon,Portland,58.3,41.7,0.07071785,0.00018318
1968,41051009102,Multnomah County,58.54787612,81.63485003,86.2607888,-1.753284442,-1.536189508,-2.136165825,21.95488851,25.64339909,6926,204,108,12.3,855,6919,14.8,54238,Oregon,Portland,56.7,43.3,0.103726309,0.000604218
1969,41051009201,Multnomah County,58.04599519,85.17630423,88.47589903,0.461825789,-2.038070432,1.405288375,56.30519919,6.925944252,7868,206,353,10.8,847,7780,23.5,50694,Oregon,Portland,49.6,50.4,0.070336127,0.00030701
1970,41051009202,Multnomah County,57.21605318,84.93972526,88.76946513,0.755391893,-2.86801244,1.168709409,52.4994469,8.007076756,5351,145,199,12.4,664,5278,21,42408,Oregon,Portland,46.4,53.6,0.057003109,0.000187146
1971,41051009301,Multnomah County,58.43817541,84.55831876,88.35793202,0.343858779,-1.645890216,0.787302908,46.13455497,14.06615385,6831,202,208,12,823,6812,27.2,48200,Oregon,Portland,48,52,0.058161087,0.00019764
1972,41051009302,Multnomah County,57.96836028,84.05228094,88.60997473,0.595901492,-2.115705349,0.28126508,39.25280528,13.44545455,4647,85,197,15.9,741,4595,15,62705,Oregon,Portland,60.2,39.8,0.079394288,0.000314328
1973,41051009400,Multnomah County,58.11789253,84.76484077,89.09879219,1.084718947,-1.966173092,0.993824917,54.13306259,5.122537523,6758,212,210,30.6,2069,6663,10.8,65146,Oregon,Portland,70.8,29.2,0.105636562,0.000434736
1974,41051009501,Multnomah County,60.35684883,84.97853299,89.28442511,1.270351867,0.272783203,1.207517138,50.20181731,7.605095541,4575,92,147,21.2,970,4551,14.8,60000,Oregon,Portland,52.9,47.1,0.112339961,0.00021572
1975,41051009502,Multnomah County,60.19900821,85.58996645,89.31667368,1.302600436,0.114942589,1.818950597,58.94007697,2.694414608,3683,69,100,16.8,619,3649,11.5,63559,Oregon,Portland,62.8,37.2,0.06055934,0.000188962
1976,41051009701,Multnomah County,57.88854649,84.99311,89.05723266,1.043159417,-2.195519137,1.222094147,55.28754941,3.858679707,5819,168,375,10.1,588,5781,25.3,45600,Oregon,Portland,55.4,44.6,0.05778303,0.000209795
1977,41051009702,Multnomah County,57.86250987,85.01384285,88.99489303,0.980819786,-2.221555755,1.242827,52.8442623,4.292001339,8442,261,179,10,848,8419,21.7,50290,Oregon,Portland,47.3,52.7,0.071025338,0.000303713
1978,41051009804,Multnomah County,57.58607261,84.76976026,88.76288169,0.748808449,-2.49799301,0.998744401,51.20061967,6.962466488,3097,142,79,17.5,542,3090,17.1,66635,Oregon,Portland,62.6,37.4,0.046297946,0.000133746
1979,41051010600,Multnomah County,62.84317217,81.45940661,87.57796863,-0.436104609,2.759106542,-2.311609248,79.17219731,2.796744391,3244,0,10,21.8,708,2755,38.6,17704,Oregon,Portland,74.9,25.1,0.044892418,0.000115627
1980,41051980000,Multnomah County,62.74962023,85.99099609,89.2883983,1.274325062,2.665554602,2.219980236,81.86379691,1.820968266,0,0,0,,0,0,,,Oregon,Portland,,100,0.181817555,0.00047004
